review_id,restaurant_name,cuisine_type,city,rating,review_text,review_length,review_date
72,Urban Tandoor,Indian,Bengaluru,5,"The chef clearly knows what they're doing, every dish was perfect.",66,2025-11-13
73,Ocean Grill,Seafood,Bengaluru,4,"The food was absolutely delicious and beautifully presented. Loved the dessert menu, the tiramisu was outstanding.",114,2023-04-01
74,Smoky BBQ Pit,American,Chennai,5,"Great spot for a family dinner, kids loved it too.",50,2025-06-02
75,Chai & Chaat,Indian,Pune,1,Parking was a nightmare and the staff was rude at the entrance.,63,2024-10-04
76,Saffron Table,Indian,Pune,4,"Portion sizes were generous and the prices were very fair. The chef clearly knows what they're doing, every dish was perfect.",125,2024-09-25
77,Blue Lotus,Thai,Hyderabad,4,"The chef clearly knows what they're doing, every dish was perfect.",66,2023-09-18
78,The Burger Joint,American,Pune,4,"Loved the dessert menu, the tiramisu was outstanding. The food was absolutely delicious and beautifully presented.",114,2024-09-08
79,Pasta Palace,Italian,Jaipur,3,"The ambiance was nice but the food was just average. Service was fine, food took a bit longer than expected.",108,2024-03-06
80,Noodle Bar,Chinese,Mumbai,2,Parking was a nightmare and the staff was rude at the entrance. Way overpriced for the quality and quantity we received.,120,2024-03-13
81,Pasta Palace,Italian,Bengaluru,3,"Average experience overall, might try another dish next time. Reasonable prices, the menu could use more variety though.",120,2025-11-21
82,Pasta Palace,Italian,Ahmedabad,3,Decent place for a quick bite if you're in the area.,52,2024-04-05
83,Golden Dragon,Chinese,Jaipur,4,"A hidden gem, the flavors were authentic and comforting. Amazing service, our server was attentive and friendly.",112,2024-05-16
84,Urban Tandoor,Indian,Bengaluru,3,"Not the best, not the worst, a fairly typical dining experience. Service was fine, food took a bit longer than expected.",120,2024-02-03
85,Sushi Zen,Japanese,Bengaluru,3,"Reasonable prices, the menu could use more variety though.",58,2023-01-12
86,The Burger Joint,American,Bengaluru,4,"The food was absolutely delicious and beautifully presented. Loved the dessert menu, the tiramisu was outstanding.",114,2025-11-26
87,Taco Fiesta,Mexican,Chennai,4,Quick service even though the place was packed.,47,2025-07-23
88,Noodle Bar,Chinese,Delhi,4,"Loved the dessert menu, the tiramisu was outstanding. Quick service even though the place was packed.",101,2025-10-30
89,The Pizza Cellar,Italian,Pune,3,"Service was fine, food took a bit longer than expected. Reasonable prices, the menu could use more variety though.",114,2025-07-10
90,Saffron Table,Indian,Jaipur,4,"Fresh ingredients and bold flavors, highly recommend this place.",64,2025-09-19
91,Bella Napoli,Italian,Chennai,3,"It's a standard restaurant, does the job but nothing memorable.",63,2024-08-08
92,Green Leaf Cafe,Vegan,Bengaluru,4,"Best meal I've had in months, will definitely come back!",56,2023-06-15
93,Coastal Kitchen,Seafood,Hyderabad,2,Service was extremely slow and the staff seemed disinterested.,62,2023-11-09
94,Urban Tandoor,Indian,Bengaluru,3,"Reasonable prices, the menu could use more variety though. The food was okay, nothing special but not bad either.",113,2024-11-08
95,Urban Tandoor,Indian,,3,"Reasonable prices, the menu could use more variety though.",58,2025-03-08
96,The Spice Route,Indian,Hyderabad,3,"Reasonable prices, the menu could use more variety though. Not the best, not the worst, a fairly typical dining experience.",123,2024-12-21
97,Blue Lotus,Thai,Hyderabad,4,"The ambiance was cozy and the staff made us feel welcome. Fresh ingredients and bold flavors, highly recommend this place.",122,2024-03-27
98,The Pizza Cellar,Italian,Hyderabad,4,"Portion sizes were generous and the prices were very fair. Great spot for a family dinner, kids loved it too.",109,2023-03-01
99,The Burger Joint,American,Ahmedabad,4,"A hidden gem, the flavors were authentic and comforting.",56,2025-08-15
100,Coastal Kitchen,Seafood,Delhi,3,"Reasonable prices, the menu could use more variety though.",58,2023-02-25
101,Noodle Bar,Chinese,Hyderabad,3,"It's a standard restaurant, does the job but nothing memorable.",63,2024-01-08
102,Green Leaf Cafe,Vegan,Hyderabad,3,,105,2024-03-09
103,Ocean Grill,Seafood,Ahmedabad,3,"Average experience overall, might try another dish next time. Service was fine, food took a bit longer than expected.",117,2025-05-13
104,Blue Lotus,Thai,Mumbai,3,"Service was fine, food took a bit longer than expected. The ambiance was nice but the food was just average.",108,2023-04-17
105,Golden Dragon,Chinese,Ahmedabad,3,"Service was fine, food took a bit longer than expected.",55,2023-03-05
106,Chai & Chaat,Indian,Jaipur,3,Decent place for a quick bite if you're in the area.,52,2023-11-09
107,Taco Fiesta,Mexican,Chennai,5,"The staff went above and beyond to accommodate our allergies. Fresh ingredients and bold flavors, highly recommend this place.",126,2024-03-22
108,The Burger Joint,American,Mumbai,4,"Fresh ingredients and bold flavors, highly recommend this place.",64,2023-08-23
109,Rustic Oven,Italian,Hyderabad,5,"A hidden gem, the flavors were authentic and comforting. Great spot for a family dinner, kids loved it too.",107,2023-02-22
110,Coastal Kitchen,Seafood,Mumbai,3,"Service was fine, food took a bit longer than expected.",55,2024-02-11
111,Pasta Palace,Italian,Hyderabad,1,The food was bland and lacked any real seasoning.,49,2023-09-05
112,Smoky BBQ Pit,American,Jaipur,4,"The food was absolutely delicious and beautifully presented. The chef clearly knows what they're doing, every dish was perfect.",127,2023-05-22
113,Taco Fiesta,Mexican,Delhi,3,"Not the best, not the worst, a fairly typical dining experience. The ambiance was nice but the food was just average.",117,2025-06-06
114,Urban Tandoor,Indian,Jaipur,5,"A hidden gem, the flavors were authentic and comforting. Loved the dessert menu, the tiramisu was outstanding.",110,2023-12-27
115,Noodle Bar,Chinese,Mumbai,4,Portion sizes were generous and the prices were very fair. The ambiance was cozy and the staff made us feel welcome.,116,2025-06-11
116,Ocean Grill,Seafood,Hyderabad,4,Quick service even though the place was packed.,47,2025-07-12
117,Green Leaf Cafe,Vegan,Jaipur,3,"The ambiance was nice but the food was just average. Average experience overall, might try another dish next time.",114,2023-02-28
118,Curry House,Indian,Pune,3,The ambiance was nice but the food was just average. Decent place for a quick bite if you're in the area.,105,2024-12-27
119,Blue Lotus,Thai,Bengaluru,5,"Amazing service, our server was attentive and friendly.",55,2023-01-21
120,Urban Tandoor,Indian,Jaipur,4,The staff went above and beyond to accommodate our allergies.,61,2025-09-27
121,The Pizza Cellar,Italian,Pune,5,"Amazing service, our server was attentive and friendly.",55,2025-07-06
122,Le Petit Bistro,French,Chennai,2,Our order was wrong and it took forever to get it corrected.,60,2025-04-08
123,The Pizza Cellar,Italian,Chennai,5,"The chef clearly knows what they're doing, every dish was perfect. Loved the dessert menu, the tiramisu was outstanding.",120,2025-12-23
124,Smoky BBQ Pit,American,Bengaluru,2,Our order was wrong and it took forever to get it corrected. Parking was a nightmare and the staff was rude at the entrance.,124,2025-07-18
125,Taco Fiesta,Mexican,Delhi,4,"Amazing service, our server was attentive and friendly. Loved the dessert menu, the tiramisu was outstanding.",109,2024-01-30
126,Curry House,Indian,Pune,5,"Fresh ingredients and bold flavors, highly recommend this place. A hidden gem, the flavors were authentic and comforting.",121,2024-03-19
127,Taco Fiesta,Mexican,Delhi,2,The place was dirty and the tables hadn't been cleaned properly. The food was bland and lacked any real seasoning.,114,2024-02-02
128,Pasta Palace,Italian,Ahmedabad,2,Our order was wrong and it took forever to get it corrected.,60,2023-01-29
129,Golden Dragon,Chinese,Mumbai,3,"Not the best, not the worst, a fairly typical dining experience.",64,2024-08-21
130,The Spice Route,Indian,Chennai,3,"Not the best, not the worst, a fairly typical dining experience. Service was fine, food took a bit longer than expected.",120,2024-08-05
131,The Burger Joint,American,Mumbai,3,"Not the best, not the worst, a fairly typical dining experience. The food was okay, nothing special but not bad either.",119,2023-04-16
132,Coastal Kitchen,Seafood,Delhi,3,"The food was okay, nothing special but not bad either.",54,2025-10-04
133,Sushi Zen,Japanese,Mumbai,3,"Service was fine, food took a bit longer than expected.",55,2024-09-14
134,Blue Lotus,Thai,Hyderabad,4,"Loved the dessert menu, the tiramisu was outstanding.",53,2025-05-02
135,Noodle Bar,Chinese,Ahmedabad,3,"Reasonable prices, the menu could use more variety though. Decent place for a quick bite if you're in the area.",111,2025-06-25
136,Chai & Chaat,Indian,Bengaluru,4,"Great spot for a family dinner, kids loved it too.",50,2023-07-23
137,Ocean Grill,Seafood,Delhi,3,"Service was fine, food took a bit longer than expected.",55,2023-06-16
138,Blue Lotus,Thai,Hyderabad,4,The food was absolutely delicious and beautifully presented.,60,2023-06-03
139,Noodle Bar,Chinese,Pune,5,The food was absolutely delicious and beautifully presented. The ambiance was cozy and the staff made us feel welcome.,118,2025-08-20
140,Pasta Palace,Italian,Bengaluru,2,The portions were tiny for the price we paid.,45,2025-07-18
141,Ocean Grill,Seafood,Bengaluru,4,"Amazing service, our server was attentive and friendly. Loved the dessert menu, the tiramisu was outstanding.",109,2024-02-10
142,Sushi Zen,Japanese,Ahmedabad,5,"Amazing service, our server was attentive and friendly.",55,2024-06-28
143,The Burger Joint,American,Jaipur,2,The restaurant was too noisy and cramped to enjoy the meal. Service was extremely slow and the staff seemed disinterested.,122,2024-09-21
144,Pasta Palace,Italian,Mumbai,3,"Not the best, not the worst, a fairly typical dining experience. Service was fine, food took a bit longer than expected.",120,2025-04-04
145,Chai & Chaat,Indian,Pune,3,"The ambiance was nice but the food was just average. It's a standard restaurant, does the job but nothing memorable.",116,2023-03-23
146,The Spice Route,Indian,Ahmedabad,5,"Great spot for a family dinner, kids loved it too.",50,2023-07-07
147,Ocean Grill,Seafood,Jaipur,2,The restaurant was too noisy and cramped to enjoy the meal.,59,2023-03-24
148,Ocean Grill,Seafood,Mumbai,2,The portions were tiny for the price we paid. The restaurant was too noisy and cramped to enjoy the meal.,105,2024-01-07
149,The Pizza Cellar,Italian,Mumbai,4,Portion sizes were generous and the prices were very fair. The staff went above and beyond to accommodate our allergies.,120,2024-12-13
150,The Burger Joint,American,Pune,4,The staff went above and beyond to accommodate our allergies. Quick service even though the place was packed.,109,2024-11-06
151,Coastal Kitchen,Seafood,Pune,3,"Average experience overall, might try another dish next time. Decent place for a quick bite if you're in the area.",114,2023-03-17
152,Green Leaf Cafe,Vegan,Jaipur,4,"Loved the dessert menu, the tiramisu was outstanding. The food was absolutely delicious and beautifully presented.",114,2023-08-26
153,Urban Tandoor,Indian,Chennai,2,I found a hair in my food and the manager barely apologized.,60,2023-04-22
154,Chai & Chaat,Indian,Pune,3,"The food was okay, nothing special but not bad either. Average experience overall, might try another dish next time.",116,2025-10-17
155,Blue Lotus,Thai,Mumbai,4,Quick service even though the place was packed. The staff went above and beyond to accommodate our allergies.,109,2023-09-26
156,The Spice Route,Indian,Ahmedabad,3,"It's a standard restaurant, does the job but nothing memorable.",63,2024-05-05
157,Blue Lotus,Thai,Mumbai,5,The ambiance was cozy and the staff made us feel welcome.,57,2025-04-15
158,Noodle Bar,Chinese,Pune,4,Quick service even though the place was packed.,47,2023-08-29
159,Saffron Table,Indian,Bengaluru,2,The restaurant was too noisy and cramped to enjoy the meal. Parking was a nightmare and the staff was rude at the entrance.,123,2024-07-13
160,Noodle Bar,Chinese,Delhi,5,"The ambiance was cozy and the staff made us feel welcome. A hidden gem, the flavors were authentic and comforting.",114,2023-10-24
161,Bella Napoli,Italian,Pune,2,The food was bland and lacked any real seasoning. I found a hair in my food and the manager barely apologized.,110,2024-07-19
162,The Spice Route,Indian,Jaipur,5,"A hidden gem, the flavors were authentic and comforting. The staff went above and beyond to accommodate our allergies.",118,2024-08-02
163,Sushi Zen,Japanese,Hyderabad,5,Portion sizes were generous and the prices were very fair. The staff went above and beyond to accommodate our allergies.,120,2025-07-03
164,Noodle Bar,Chinese,Hyderabad,3,"Service was fine, food took a bit longer than expected.",55,2024-10-21
165,Le Petit Bistro,French,Jaipur,4,Portion sizes were generous and the prices were very fair.,58,2025-04-21
166,Coastal Kitchen,Seafood,Ahmedabad,3,"Not the best, not the worst, a fairly typical dining experience.",64,2025-03-01
167,Sushi Zen,Japanese,Mumbai,5,"Amazing service, our server was attentive and friendly. Quick service even though the place was packed.",103,2025-10-25
168,Saffron Table,Indian,Delhi,5,The staff went above and beyond to accommodate our allergies.,61,2025-07-24
169,Urban Tandoor,Indian,Pune,3,"Not the best, not the worst, a fairly typical dining experience.",64,2023-11-13
170,Green Leaf Cafe,Vegan,Hyderabad,2,The food was bland and lacked any real seasoning.,49,2025-03-25
171,Green Leaf Cafe,Vegan,Mumbai,2,"Definitely not worth the hype, quite disappointing overall.",59,2025-09-26
172,Le Petit Bistro,French,Mumbai,2,Parking was a nightmare and the staff was rude at the entrance.,63,2024-08-11
173,Urban Tandoor,Indian,Delhi,3,"Not the best, not the worst, a fairly typical dining experience.",64,2023-07-21
174,Pasta Palace,Italian,Ahmedabad,3,The ambiance was nice but the food was just average.,52,2023-03-01
175,Pasta Palace,Italian,Bengaluru,3,"Reasonable prices, the menu could use more variety though. Average experience overall, might try another dish next time.",120,2025-01-04
176,Saffron Table,Indian,Delhi,4,"Best meal I've had in months, will definitely come back!",56,2025-04-23
177,Bella Napoli,Italian,Delhi,3,"Not the best, not the worst, a fairly typical dining experience.",64,2025-02-22
178,Le Petit Bistro,French,Ahmedabad,4,"Quick service even though the place was packed. Fresh ingredients and bold flavors, highly recommend this place.",112,2025-08-02
179,Noodle Bar,Chinese,Jaipur,4,"Amazing service, our server was attentive and friendly.",55,2024-08-12
180,Smoky BBQ Pit,American,Jaipur,5,"The staff went above and beyond to accommodate our allergies. Fresh ingredients and bold flavors, highly recommend this place.",126,2024-09-04
181,Pasta Palace,Italian,Bengaluru,3,"Not the best, not the worst, a fairly typical dining experience. The food was okay, nothing special but not bad either.",119,2024-02-12
182,Coastal Kitchen,Seafood,Ahmedabad,2,Parking was a nightmare and the staff was rude at the entrance. Our order was wrong and it took forever to get it corrected.,124,2025-01-05
183,Coastal Kitchen,Seafood,Ahmedabad,2,"Definitely not worth the hype, quite disappointing overall.",59,2024-07-16
184,Chai & Chaat,Indian,Chennai,3,"Service was fine, food took a bit longer than expected. It's a standard restaurant, does the job but nothing memorable.",119,2025-10-14
185,Le Petit Bistro,French,Mumbai,3,Decent place for a quick bite if you're in the area. The ambiance was nice but the food was just average.,105,2024-01-25
186,Golden Dragon,Chinese,Chennai,4,"The food was absolutely delicious and beautifully presented. A hidden gem, the flavors were authentic and comforting.",117,2024-09-24
187,Sushi Zen,Japanese,Delhi,5,"Portion sizes were generous and the prices were very fair. The chef clearly knows what they're doing, every dish was perfect.",125,2023-07-04
188,Curry House,Indian,Pune,4,"Loved the dessert menu, the tiramisu was outstanding. The staff went above and beyond to accommodate our allergies.",115,2023-09-28
189,The Burger Joint,American,Chennai,3,"It's a standard restaurant, does the job but nothing memorable. The ambiance was nice but the food was just average.",116,2024-06-10
190,Taco Fiesta,Mexican,Bengaluru,2,Way overpriced for the quality and quantity we received.,56,2025-08-17
191,Coastal Kitchen,Seafood,Ahmedabad,2,We waited over an hour despite having a reservation.,52,2025-01-19
192,Ocean Grill,Seafood,Pune,4,"Portion sizes were generous and the prices were very fair. Great spot for a family dinner, kids loved it too.",109,2023-09-11
193,Rustic Oven,Italian,Bengaluru,5,"Amazing service, our server was attentive and friendly. Great spot for a family dinner, kids loved it too.",106,2025-02-19
194,The Pizza Cellar,Italian,Mumbai,3,"Service was fine, food took a bit longer than expected. The ambiance was nice but the food was just average.",108,2023-02-21
195,Noodle Bar,Chinese,Ahmedabad,4,"Amazing service, our server was attentive and friendly. Best meal I've had in months, will definitely come back!",112,2024-09-10
196,Golden Dragon,Chinese,Bengaluru,3,"Average experience overall, might try another dish next time. The food was okay, nothing special but not bad either.",116,2024-09-15
197,Blue Lotus,Thai,Hyderabad,3,"Not the best, not the worst, a fairly typical dining experience. Decent place for a quick bite if you're in the area.",117,2023-10-05
198,Rustic Oven,Italian,Jaipur,4,"Great spot for a family dinner, kids loved it too. Amazing service, our server was attentive and friendly.",106,2023-11-13
199,Chai & Chaat,Indian,Chennai,3,"The food was okay, nothing special but not bad either. The ambiance was nice but the food was just average.",107,2025-04-15
200,Curry House,Indian,Chennai,3,"Service was fine, food took a bit longer than expected. Reasonable prices, the menu could use more variety though.",114,2025-06-27
201,Taco Fiesta,Mexican,Pune,4,"The food was absolutely delicious and beautifully presented. The chef clearly knows what they're doing, every dish was perfect.",127,2025-01-22
202,Curry House,Indian,Bengaluru,5,"Amazing service, our server was attentive and friendly. Great spot for a family dinner, kids loved it too.",106,2023-09-08
203,Chai & Chaat,Indian,,4,Portion sizes were generous and the prices were very fair.,58,2023-02-13
204,Sushi Zen,Japanese,Bengaluru,5,"Loved the dessert menu, the tiramisu was outstanding.",53,2024-02-25
205,Rustic Oven,Italian,Delhi,3,The ambiance was nice but the food was just average.,52,2024-03-18
206,Chai & Chaat,Indian,Pune,2,Way overpriced for the quality and quantity we received. Parking was a nightmare and the staff was rude at the entrance.,120,2023-01-06
207,The Burger Joint,American,Ahmedabad,5,"Best meal I've had in months, will definitely come back!",56,2023-08-14
208,Smoky BBQ Pit,American,,4,"The food was absolutely delicious and beautifully presented. Best meal I've had in months, will definitely come back!",117,2024-05-02
209,Golden Dragon,Chinese,Mumbai,3,"Average experience overall, might try another dish next time. The ambiance was nice but the food was just average.",114,2023-09-17
210,The Pizza Cellar,Italian,Mumbai,5,"Loved the dessert menu, the tiramisu was outstanding. A hidden gem, the flavors were authentic and comforting.",110,2025-07-07
211,Noodle Bar,Chinese,Ahmedabad,5,"A hidden gem, the flavors were authentic and comforting.",56,2025-10-28
212,Saffron Table,Indian,Ahmedabad,4,"Great spot for a family dinner, kids loved it too. The food was absolutely delicious and beautifully presented.",111,2024-09-09
213,The Pizza Cellar,Italian,Jaipur,5,"Great spot for a family dinner, kids loved it too. Amazing service, our server was attentive and friendly.",106,2025-04-02
214,Noodle Bar,Chinese,Delhi,5,Portion sizes were generous and the prices were very fair.,58,2023-05-31
215,Bella Napoli,Italian,Pune,3,"The ambiance was nice but the food was just average. Service was fine, food took a bit longer than expected.",108,2023-09-16
216,Noodle Bar,Chinese,Bengaluru,5,"Amazing service, our server was attentive and friendly. The staff went above and beyond to accommodate our allergies.",117,2025-11-01
217,Urban Tandoor,Indian,Chennai,2,We waited over an hour despite having a reservation.,52,2025-07-13
218,Noodle Bar,Chinese,Chennai,4,"The staff went above and beyond to accommodate our allergies. Amazing service, our server was attentive and friendly.",117,2025-03-27
219,Urban Tandoor,Indian,Jaipur,3,"The ambiance was nice but the food was just average. Average experience overall, might try another dish next time.",114,2024-10-02
220,Bella Napoli,Italian,Hyderabad,3,"Average experience overall, might try another dish next time.",61,2023-07-06
221,Taco Fiesta,Mexican,Ahmedabad,5,"Loved the dessert menu, the tiramisu was outstanding.",53,2025-02-02
222,Rustic Oven,Italian,Chennai,2,We waited over an hour despite having a reservation.,52,2024-11-06
223,Urban Tandoor,Indian,Chennai,4,"A hidden gem, the flavors were authentic and comforting. Fresh ingredients and bold flavors, highly recommend this place.",121,2023-04-16
224,Taco Fiesta,Mexican,Jaipur,2,Way overpriced for the quality and quantity we received.,56,2025-11-05
225,Le Petit Bistro,French,Mumbai,2,I found a hair in my food and the manager barely apologized. The food was bland and lacked any real seasoning.,110,2023-08-10
226,Ocean Grill,Seafood,Ahmedabad,5,"Loved the dessert menu, the tiramisu was outstanding. A hidden gem, the flavors were authentic and comforting.",110,2024-04-08
